placemarkName,placemarkLat,placemarkLon,styleId,origHref,proposedType,proposedValue,matchedDocId
"HOTEL Atenea / Mataró (Barcelona)",41.530711,2.443063,icon-1602-9C27B0,"",none,"",Q9E4k8BKDXhaLdAKVD4c
"ALTURA MÁXIMA 4,2M / Mataró ( Barcelona",41.535765,2.449486,icon-1541-097138,"",none,"",ShuqkUvc8rJXmJmyQwy0
"COLEGIO Cirera 🚸 / Mataró (Barcelona)",41.54678,2.435793,icon-1682-FFD600,"",none,"",gDoIM27oc9TFumMf41QZ
"RESTAURANTE La Curva / Calasparra (Murcia)",38.237405,-1.700247,icon-1577-795548,"",none,"",1Rt5OwW5UNKNxIjSs69m
"APARCAMIENTO / Calasparra (Murcia)",38.228066,-1.69446,icon-1644-0288D1,"",none,"",Xq8dD01f3lpz6R1iB5Wy
"ESTACIÓN BUS 🚍 / Cehegín (Murcia)",38.091149,-1.802528,icon-1532-0288D1,"",none,"",wOxrySgoSAzUgxH4Tsny
"C Y D / Cehegín (Murcia)",38.092355,-1.798832,icon-1826-0F9D58,"",none,"",KsXXIWDSvGNVWaXKTqMX
"APARCAMIENTO / Peñarroya-Pueblonuevo (Córdoba)",38.307228,-5.279493,icon-1644-0288D1,"",none,"",Tafql8MPcKzNb6bg9tOr
"ESTACIÓN BUS / Andújar (Jaén)",38.039692,-4.045138,icon-1532-0288D1,"",none,"",1hiwk9yj1a6PuK8KPk3D
"SANTUÁRIO Virgen de La Cabeza / Andújar (Jaén)",38.178862,-4.035897,icon-1670-E65100,"",none,"",BBIS37tiC0A2cDKREh8G
"ESTACIÓN BUS /Arenas De San Pedro (Ávila)",40.211362,-5.08361,icon-1532-0288D1,"",none,"",1xRY0kmWdTqFSSKJ3wSy
"ZONA DE ESPERA / Colindres (Cantabria)",43.392891,-3.460762,icon-1534-4E342E,"",none,"",mfmBaDtx3g0jHpqSO3i8
"CITRAN.NET / Tu Portaequipajes Inteligente",41.497246,2.358371,icon-1899-DB4436,"",none,"",ygf7LISIX1qJP7yUvcKQ
